Redfish,Date,Time,Release_Time,Location,Capture_Lat,Capture_Long,Release_Lat,Release_Long,TempF,Depthft,Sex,FLcm,TLcm,Masskg,Girthcm,Dartw,V13,Parasites,Blood,Muscle,Spine,Duration_min,Photos,Videos,Angler,Bait,Notes,Recaptured
28,6/19/2020,10:00,10:15,St. Augustine Inlet,29.90705,-81.290467,29.90705,-81.290467,81,35,N/A,68,72,5,42,#028,59226,N,Y,Y,Y,12,Y,Y,Brandon Ray,cut mullet,,no
29,10/14/2020,12:22,12:56,St. Augustine Beach,29.86475,-81.24558,29.86618,-81.24753,82,30,N/A,99,102,9.5,54,#029,59227,N,Y,Y,Y,14,Y,Y,Capt Rob Bennet,live pogy,,no
30,10/27/2020,9:35,9:54,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,96,101,10,52,#030,59228,N,Y,Y,Y,18,Y,Y,Clark Moragn,half blue crab,,no
31,10/27/2020,10:00,10:15,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,100,106,13.6,59,#031,53424,N,Y,Y,Y,14,Y,Y,Jimmy Liao,half blue crab,,no
32,10/27/2020,10:45,11:00,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,104,109,11.3,54,#032,53425,N,Y,Y,Y,12,Y,Y,Ian Hamilton,half blue crab,,no
33,10/27/2020,13:00,13:15,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,90,96,9,48,#033,53426,N,Y,Y,Y,10,Y,Y,Clark Moragn,half blue crab,,no
34,10/27/2020,14:45,15:00,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,66,69,4.5,37,#035,53428,N,Y,Y,Y,10,Y,Y,Jimmy Liao,half blue crab,,no
35,10/29/2020,13:00,13:18,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,80,87,6.8,48,#034,53427,N,Y,Y,Y,12,Y,Y,Ian Hamilton,half blue crab,,no
36,10/29/2020,13:30,13:45,St. Augustine Beach,29.86475,-81.24558,29.86475,-81.24558,80,30,N/A,96,101,9.5,62,#036,53429,N,Y,Y,Y,13,Y,Y,Clark Moragn,half blue crab,,no
37,11/6/2020,13:00,13:11,St. Augustine Inlet,29.90715,-81.291233,29.90715,-81.291233,75,35,N/A,93,99,9,47,#037,53430,N,Y,Y,Y,11,Y,Y,Jimmy Liao,half blue crab,,no
38,11/6/2020,13:42,14:04,St. Augustine Inlet,29.90715,-81.291233,29.90715,-81.291233,75,35,N/A,75,78,4.1,43,#038,53431,N,Y,Y,Y,20,Y,Y,Jimmy Liao,half blue crab,,no
39,11/6/2020,14:05,14:25,St. Augustine Inlet,29.90715,-81.291233,29.90715,-81.291233,75,35,N/A,89,98,9,52,#039,59219,N,Y,Y,Y,13,Y,Y,netted at surface,2ND DEPLOYMENT OF THIS TAG was floating after another angler released it. scooped and revived before tagging,,no
40,8/4/2021,12:40,12:58,Matanzas Inlet,29.7045,-81.22819,29.7045,-81.22819,82.8,9,N/A,N/A,75,3,38,#040,53432,N,Y,Y,Y,18,Y,Y,Steven Longmire,fresh 1/4 blue crab (no legs),blue tail,no
41,8/4/2021,13:15,13:50,Matanzas Inlet,29.705693,-81.227229,29.70431,-81.2284,82.8,10,N/A,N/A,97,8.2,52,#041,53433,N,Y,Y,Y,35,Y,N,Nearby boat,shrimp,Heck of a time getting setup to do the surgery. DON’T TRY TO ANCHOR UNDER THE BRIDGE,no
42,8/11/2021,19:30,19:43,Matanzas Inlet,29.7015,-81.22773,29.7015,-81.22773,87.7,14.5,N/A,N/A,73,4.1,40,#042,63390,N,Y,Y,Y,13,N,Y,Jimmy Liao,half blue crab,,no
43,2021-08-17,11:05,11:40,Matanzas Inlet,29.70519,-81.22792,29.70519,-81.22792,N/A,12,N/A,N/A,72,3.6,39,#043,63391,N,N,Y,Y,35,Y,N,Adam White,,hotline,no
