collectioncode,catalognumber,scientificname,commonname,datelastmodified,detectedby,receiver_group,station,receiver,bottom_depth,receiver_depth,tagname,codespace,sensorname,sensorraw,sensortype,sensorvalue,sensorunit,datecollected,timezone,longitude,latitude,the_geom,yearcollected,monthcollected,daycollected,julianday,timeofday,local_area,notes,citation,unqdetecid,contact_poc,contact_pi
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,JBDOCK,134178,4.2682926829268295,3.0487804878048776,A69-1602-23320,A69-1602,,,pinger,,,2019-07-19 15:15:47,UTC,-81.30065,29.92045,0101000020E6100000B7627FD93D5354C06B9A779CA2EB3D40,2019,7,19,200,15.2630555555556,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-342,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,CCOVE,134181,4.878048780487805,3.6585365853658534,A69-1602-23320,A69-1602,,,pinger,,,2019-07-19 23:27:47,UTC,-81.30473,29.91791,0101000020E61000000C0742B2805354C0DEAB5626FCEA3D40,2019,7,19,200,23.4630555555556,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-350,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,CCOVE,134181,4.878048780487805,3.6585365853658534,A69-1602-23320,A69-1602,,,pinger,,,2019-07-19 23:28:31,UTC,-81.30473,29.91791,0101000020E61000000C0742B2805354C0DEAB5626FCEA3D40,2019,7,19,200,23.4752777777778,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-351,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,JBDOCK,134178,4.2682926829268295,3.0487804878048776,A69-1602-23320,A69-1602,,,pinger,,,2019-07-20 09:34:28,UTC,-81.30065,29.92045,0101000020E6100000B7627FD93D5354C06B9A779CA2EB3D40,2019,7,20,201,9.57444444444444,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-359,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,JBDOCK,134178,4.2682926829268295,3.0487804878048776,A69-1602-23320,A69-1602,,,pinger,,,2019-07-20 09:35:45,UTC,-81.30065,29.92045,0101000020E6100000B7627FD93D5354C06B9A779CA2EB3D40,2019,7,20,201,9.59583333333333,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-360,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,JBDOCK,134178,4.2682926829268295,3.0487804878048776,A69-1602-23320,A69-1602,,,pinger,,,2019-07-20 09:39:01,UTC,-81.30065,29.92045,0101000020E6100000B7627FD93D5354C06B9A779CA2EB3D40,2019,7,20,201,9.65027777777778,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-361,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,CCOVE,134181,4.878048780487805,3.6585365853658534,A69-1602-23320,A69-1602,,,pinger,,,2019-07-21 07:04:25,UTC,-81.30473,29.91791,0101000020E61000000C0742B2805354C0DEAB5626FCEA3D40,2019,7,21,202,7.07361111111111,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-374,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,DTSAUG,134177,6.097560975609755,2.4390243902439024,A69-1602-23320,A69-1602,,,pinger,,,2019-07-21 23:14:08,UTC,-81.30797,29.89210,0101000020E61000008B89CDC7B55354C0F8C264AA60E43D40,2019,7,21,202,23.2355555555556,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-396,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,DTSAUG,134177,6.097560975609755,2.4390243902439024,A69-1602-23320,A69-1602,,,pinger,,,2019-07-23 23:53:28,UTC,-81.30797,29.89210,0101000020E61000008B89CDC7B55354C0F8C264AA60E43D40,2019,7,23,204,23.8911111111111,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-465,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,DTSAUG,134177,6.097560975609755,2.4390243902439024,A69-1602-23320,A69-1602,,,pinger,,,2019-07-23 23:54:27,UTC,-81.30797,29.89210,0101000020E61000008B89CDC7B55354C0F8C264AA60E43D40,2019,7,23,204,23.9075,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-466,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303733-2019-07-16,Sciaenops ocellatus,red drum,2019-10-23,WHITR,WHITR,DTSAUG,134177,6.097560975609755,2.4390243902439024,A69-1602-23320,A69-1602,,,pinger,,,2019-07-24 01:07:55,UTC,-81.30797,29.89210,0101000020E61000008B89CDC7B55354C0F8C264AA60E43D40,2019,7,24,205,1.13194444444444,St. Augustine,,"Liao, J.C., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITR-A69-1602-23320-467,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-10-03,WHITT,WHITT,"St. Augustine, FL",release,,,A69-1602-23321,,,,,,,2019-07-24 13:45:00,UTC,-81.28928,29.90735,0101000020E6100000000000A0835254C0F7FFFF1F48E83D40,2019,7,24,205,13.75,"St. Augustine, FL",,"Liao, J.C.,Ray, B., Morgan, C.R. 2019. Investigating red drum (Sciaenops ocellatus) movement and migration patterns in First Coast waters via acoustic telemetry.",WHITT-1303734-2019-07-24-release-A69-1602-23321,Clark Morgan (cmorgan@whitney.ufl.edu),James Liao (jliao@whitney.ufl.edu)
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,4MIR,134313,21.6,20.6,A69-1602-23321,A69-1602,,,pinger,,,2019-09-09 18:27:40,UTC,-81.20810,29.92370,0101000020E61000000C93A982514D54C0B1506B9A77EC3D40,2019,9,9,252,18.4611111111111,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22563365,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,4MIR,134313,21.6,20.6,A69-1602-23321,A69-1602,,,pinger,,,2019-09-11 11:35:41,UTC,-81.20810,29.92370,0101000020E61000000C93A982514D54C0B1506B9A77EC3D40,2019,9,11,254,11.5947222222222,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22564752,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,4MIR,134313,21.6,20.6,A69-1602-23321,A69-1602,,,pinger,,,2019-09-11 11:36:31,UTC,-81.20810,29.92370,0101000020E61000000C93A982514D54C0B1506B9A77EC3D40,2019,9,11,254,11.6086111111111,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22564753,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,4MIR,134313,21.6,20.6,A69-1602-23321,A69-1602,,,pinger,,,2019-09-11 11:38:35,UTC,-81.20810,29.92370,0101000020E61000000C93A982514D54C0B1506B9A77EC3D40,2019,9,11,254,11.6430555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22564757,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,LRTUG,131107,18.9,17.9,A69-1602-23321,A69-1602,,,pinger,,,2019-09-11 18:00:02,UTC,-81.15123,29.90288,0101000020E6100000240B98C0AD4954C06536C82423E73D40,2019,9,11,254,18.0005555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596236,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,LRTUG,131107,18.9,17.9,A69-1602-23321,A69-1602,,,pinger,,,2019-09-12 04:40:52,UTC,-81.15123,29.90288,0101000020E6100000240B98C0AD4954C06536C82423E73D40,2019,9,12,255,4.68111111111111,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596252,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,LRTUG,131107,18.9,17.9,A69-1602-23321,A69-1602,,,pinger,,,2019-09-12 04:46:23,UTC,-81.15123,29.90288,0101000020E6100000240B98C0AD4954C06536C82423E73D40,2019,9,12,255,4.77305555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596253,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,9MRN,134299,21.3,20.3,A69-1602-23321,A69-1602,,,pinger,,,2019-09-24 12:18:11,UTC,-81.12165,29.91253,0101000020E6100000BDE3141DC94754C06F9EEA909BE93D40,2019,9,24,267,12.3030555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22574659,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,DESCO,132741,24.1,23.1,A69-1602-23321,A69-1602,,,pinger,,,2019-09-27 11:11:52,UTC,-81.01717,29.88723,0101000020E61000003A1E3350194154C0B3075A8121E33D40,2019,9,27,270,11.1977777777778,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596304,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,DESCO,132741,24.1,23.1,A69-1602-23321,A69-1602,,,pinger,,,2019-09-27 11:13:58,UTC,-81.01717,29.88723,0101000020E61000003A1E3350194154C0B3075A8121E33D40,2019,9,27,270,11.2327777777778,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596305,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,DESCO,132741,24.1,23.1,A69-1602-23321,A69-1602,,,pinger,,,2019-09-27 11:16:00,UTC,-81.01717,29.88723,0101000020E61000003A1E3350194154C0B3075A8121E33D40,2019,9,27,270,11.2666666666667,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596306,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,DESCO,132741,24.1,23.1,A69-1602-23321,A69-1602,,,pinger,,,2019-09-27 11:19:50,UTC,-81.01717,29.88723,0101000020E61000003A1E3350194154C0B3075A8121E33D40,2019,9,27,270,11.3305555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596307,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2019-12-13,TEQ,TEQ,DESCO,132741,24.1,23.1,A69-1602-23321,A69-1602,,,pinger,,,2019-09-27 11:21:11,UTC,-81.01717,29.88723,0101000020E61000003A1E3350194154C0B3075A8121E33D40,2019,9,27,270,11.3530555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-22596308,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:32:21,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.5391666666667,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23838671,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:33:30,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.5583333333333,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23845698,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:34:26,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.5738888888889,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23831815,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:35:32,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.5922222222222,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23804195,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:36:21,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.6058333333333,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23838673,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:37:16,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.6211111111111,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23824890,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:41:53,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.6980555555556,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23804196,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:46:06,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.7683333333333,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23824891,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:47:27,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.7908333333333,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23811121,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:49:53,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.8313888888889,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23804197,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:50:50,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.8472222222222,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23852464,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
WHITT,WHITT-1303734-2019-07-24,Sciaenops ocellatus,red drum,2020-11-16,TEQ,TEQ,MOODY,103638,31.0,30.0,A69-1602-23321,A69-1602,,,pinger,,,2019-11-21 16:52:55,UTC,-80.85110,29.98362,0101000020E61000000A68226C783654C007B13385CEFB3D40,2019,11,21,325,16.8819444444444,,,"Young, J. YYYY. Tequesta Listening Stations",TEQ-A69-1602-23321-23818073,Joy Young (joy.young@myfwc.com),"Jim Whittington (jim.whittington@myfwc.com), Joy Young (joy.young@myfwc.com)"
